year,Dispersed,Humberside,Southampton,South Wales,Unmapped,Merseyside,Grangemouth,Teesside,Black Country
2026,26.811,5.515,3.218,2.903,2.742,2.663,0.427,0.421,0.192
2027,26.749,5.401,3.218,2.93,2.737,2.671,0.427,0.419,0.192
2028,26.63,2.634,3.218,3.055,2.732,2.66,0.427,0.417,0.192
2029,26.367,2.621,3.218,3.03,2.62,2.655,0.427,0.366,0.192
2030,26.231,2.608,3.218,3.006,2.619,2.646,0.427,0.366,0.192
2031,26.024,2.594,3.207,2.986,2.61,2.627,0.425,0.365,0.192
2032,25.816,2.579,3.196,2.966,2.601,2.609,0.424,0.363,0.191
2033,25.607,2.565,3.185,2.946,2.592,2.591,0.422,0.362,0.191
2034,25.377,2.551,3.175,2.926,2.583,2.573,0.421,0.361,0.19
2035,25.049,2.536,3.164,2.905,2.574,2.545,0.419,0.359,0.189
2036,24.983,2.526,3.153,2.893,2.565,2.537,0.418,0.358,0.189
