site,sector,band,traded,commodity,demand_pj,incumbent_tech,start_capacity,inertia_factor,cluster,layer,source,retrieved,basis
Scunthorpe Integrated Iron & Steel Works,steel,large,True,steel,1.6456,bof,1.8284,0.56,Humberside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
"Valero, Pembroke",heat,large,True,heat,45.6835,gas_boiler,50.7595,0.6,South Wales,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Esso Petroleum Company Limited,heat,large,True,heat,44.287,gas_boiler,49.2078,0.64,Southampton,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Humber Refinery,heat,large,True,heat,37.1762,gas_boiler,41.3069,0.68,Humberside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Stanlow Manufacturing Complex,heat,large,True,heat,30.7822,gas_boiler,34.2025,0.72,Merseyside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Hope Cement Works,cement,large,True,cement,1.1898,cement_kiln,1.322,0.76,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Rugby Works,cement,large,True,cement,1.1518,cement_kiln,1.2797,0.8,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Lindsey Oil Refinery,heat,large,True,heat,11.6197,gas_boiler,12.9108,0.84,Humberside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Fife Ethylene Plant,heat,large,True,heat,10.9651,gas_boiler,12.1835,0.88,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Cauldon Cement,cement,large,True,cement,0.798,cement_kiln,0.8867,0.92,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Fawley Refinery,heat,large,True,heat,9.936,gas_boiler,11.04,0.96,Southampton,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Tunstead Cement,cement,large,True,cement,0.7148,cement_kiln,0.7943,1.0,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
KETTON WORKS,cement,large,True,cement,0.6692,cement_kiln,0.7436,1.04,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Dunbar Plant,cement,mid,True,cement,0.5889,cement_kiln,0.6544,0.7,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Ribblesdale Works,cement,mid,True,cement,0.5576,cement_kiln,0.6195,0.711,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Grangemouth Chemicals,heat,mid,True,heat,6.5927,gas_boiler,7.3253,0.722,Grangemouth,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Padeswood Works,cement,mid,True,cement,0.4645,cement_kiln,0.5162,0.733,Merseyside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
