site,sector,band,traded,commodity,demand_pj,incumbent_tech,start_capacity,source,retrieved,basis
Port Talbot Steelworks,steel,large,True,steel,3.4968,bof,3.8853,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Scunthorpe Integrated Iron & Steel Works,steel,large,True,steel,2.4631,bof,2.7368,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Esso Petroleum Company Limited,heat,large,True,heat,41.5544,gas_boiler,46.1715,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Stanlow Manufacturing Complex,heat,large,True,heat,35.7687,gas_boiler,39.743,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Humber Refinery,heat,large,True,heat,34.0453,gas_boiler,37.8281,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
"Valero, Pembroke",heat,large,True,heat,27.8294,gas_boiler,30.9215,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Lindsey Oil Refinery,heat,large,True,heat,20.6862,gas_boiler,22.9847,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Hope Cement Works,cement,large,True,cement,1.4769,cement_kiln,1.641,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Rugby Works,cement,large,True,cement,1.3724,cement_kiln,1.5249,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Billingham Fertilizer Works,heat,large,True,heat,13.995,gas_boiler,15.55,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Grangemouth Refining,heat,large,True,heat,13.6196,gas_boiler,15.1329,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
KETTON WORKS,cement,large,True,cement,0.9764,cement_kiln,1.0849,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Fife Ethylene Plant,heat,large,True,heat,12.0743,gas_boiler,13.4159,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Tunstead Cement,cement,large,True,cement,0.8567,cement_kiln,0.9519,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Grangemouth Chemicals,heat,large,True,heat,10.5806,gas_boiler,11.7562,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Fawley Refinery,heat,large,True,heat,10.3686,gas_boiler,11.5207,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Cauldon Cement,cement,large,True,cement,0.7577,cement_kiln,0.8419,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Ribblesdale Works,cement,large,True,cement,0.7264,cement_kiln,0.8071,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Padeswood Works,cement,large,True,cement,0.7132,cement_kiln,0.7924,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Dunbar Plant,cement,mid,True,cement,0.6106,cement_kiln,0.6785,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Whitwell Works Lime Kiln Plant,heat,mid,True,heat,7.0207,gas_boiler,7.8008,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Winnington Sodium Carbonate Manufacturing Site,heat,mid,True,heat,6.4227,gas_boiler,7.1364,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Aberthaw Cement Plant,cement,mid,True,cement,0.4614,cement_kiln,0.5126,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Cookstown Cement,cement,mid,True,cement,0.4183,cement_kiln,0.4648,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Wissington Sugar Factory,heat,mid,True,heat,5.4687,gas_boiler,6.0763,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Ineos Acetyls Hull,heat,mid,True,heat,5.1739,gas_boiler,5.7488,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Tunstead Lime,heat,mid,True,heat,4.8847,gas_boiler,5.4275,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Melton Ross Limeworks,heat,mid,True,heat,4.6352,gas_boiler,5.1502,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Teesside Hydrogen Plant,heat,mid,True,heat,3.9083,gas_boiler,4.3426,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Bury St Edmunds Sugar Factory,heat,mid,True,heat,3.8193,gas_boiler,4.2436,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Encirc Glass,heat,mid,True,heat,3.3648,gas_boiler,3.7387,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Lhoist UK Limited,heat,mid,True,heat,3.3219,gas_boiler,3.691,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Tata Steel Shapfell,heat,mid,True,heat,3.2115,gas_boiler,3.5683,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Palm Paper Ltd PM7 Newsprint Mill,heat,mid,True,heat,3.1876,gas_boiler,3.5418,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Tronox Pigment - CHP Plant,heat,mid,True,heat,3.1221,gas_boiler,3.469,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Hindlow Lime,heat,mid,True,heat,3.1197,gas_boiler,3.4663,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Partington Papermill,heat,mid,True,heat,3.0182,gas_boiler,3.3535,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Venator Materials UK Limited,heat,mid,True,heat,2.8873,gas_boiler,3.2082,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Cargill - Trafford Park,heat,mid,True,heat,2.7195,gas_boiler,3.0217,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Kronospan Ltd,heat,mid,True,heat,2.6701,gas_boiler,2.9668,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Port of Liverpool CHP,heat,mid,True,heat,2.6581,gas_boiler,2.9534,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Dow Silicone Manufacturing Installation,heat,mid,True,heat,2.5684,gas_boiler,2.8538,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Ardagh Glass Ltd,heat,mid,True,heat,2.5586,gas_boiler,2.8429,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Pilkington United Kingdom Limited - Greengate,heat,mid,True,heat,2.4803,gas_boiler,2.7559,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Sellafield Site,heat,mid,True,heat,2.4254,gas_boiler,2.6949,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Shell UK Limited Fife NGL Plant,heat,mid,True,heat,2.3694,gas_boiler,2.6327,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Lostock Soda Ash Manufacture,heat,mid,True,heat,2.3265,gas_boiler,2.585,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
O-I Glass Limited,heat,mid,True,heat,2.1157,gas_boiler,2.3508,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Ardagh Glass - Wheatley,heat,mid,True,heat,2.0293,gas_boiler,2.2547,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
DSM Dalry,heat,mid,True,heat,1.8698,gas_boiler,2.0776,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
The Lycra Company UK Limited,heat,mid,True,heat,1.7895,gas_boiler,1.9884,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
British Sugar plc - Newark,heat,mid,True,heat,1.6548,gas_boiler,1.8386,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Tate and Lyle Sugars,heat,mid,True,heat,1.5276,gas_boiler,1.6973,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Cantley Sugar Factory,heat,mid,True,heat,1.496,gas_boiler,1.6622,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Rockwool Bridgend,heat,mid,True,heat,1.4813,gas_boiler,1.6459,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
East Leake Gypsum Works,heat,mid,True,heat,1.4145,gas_boiler,1.5717,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Smurfit Westrock SSK,heat,mid,True,heat,1.3562,gas_boiler,1.5069,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Smurfit Westrock Townsend Hook,heat,mid,True,heat,1.3452,gas_boiler,1.4947,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Encirc Limited,heat,mid,True,heat,1.3363,gas_boiler,1.4848,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Wigton Boiler Plant,heat,mid,True,heat,1.3333,gas_boiler,1.4815,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Teesside Beam Mill,steel,mid,True,steel,0.0393,bof,0.0437,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Whittlesey,heat,mid,True,heat,1.2817,gas_boiler,1.4241,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Norbord Cowie,heat,mid,True,heat,1.2717,gas_boiler,1.413,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
ETEX Building Performance Limited – Portbury Site,heat,mid,True,heat,1.2573,gas_boiler,1.397,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Saint-Gobain Glass (United Kingdom) Limited,heat,mid,True,heat,1.2491,gas_boiler,1.3879,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Ardagh Glass - Headlands,heat,mid,True,heat,1.2146,gas_boiler,1.3495,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Ardagh Glass Limited,heat,mid,True,heat,1.213,gas_boiler,1.3477,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
The Girvan Distillery,heat,mid,True,heat,1.2037,gas_boiler,1.3375,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Archer Daniels Midland Erith Ltd,heat,mid,True,heat,1.1835,gas_boiler,1.315,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Selby Wheat Processing Facility,heat,mid,True,heat,1.1803,gas_boiler,1.3114,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
Verallia UK Limited - Leeds,heat,mid,True,heat,1.1521,gas_boiler,1.2801,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (2021 weights)",2026-08-16,derived
