scenario,year,MtCO2e,gas_PJ,elec_PJ
central,2026,28.43,426.2,0.0
central,2027,28.34,424.5,0.8
central,2028,25.57,420.2,10.2
central,2029,25.22,420.9,10.5
central,2030,25.04,421.8,10.5
central,2031,24.81,420.9,10.5
central,2032,24.58,419.8,10.5
central,2033,24.36,418.8,10.5
central,2034,24.1,417.7,10.5
central,2035,23.75,416.7,10.5
central,2036,23.68,415.6,10.5
levies_off_electricity,2026,28.43,426.2,0.0
levies_off_electricity,2027,25.59,419.8,4.3
levies_off_electricity,2028,25.38,419.9,10.5
levies_off_electricity,2029,25.22,420.9,10.5
levies_off_electricity,2030,25.04,421.8,10.5
levies_off_electricity,2031,24.81,420.9,10.5
levies_off_electricity,2032,24.58,419.8,10.5
levies_off_electricity,2033,24.36,418.8,10.5
levies_off_electricity,2034,24.1,417.7,10.5
levies_off_electricity,2035,23.75,416.7,10.5
levies_off_electricity,2036,23.68,415.6,10.5
gas_shock_up50,2026,28.43,426.2,0.0
gas_shock_up50,2027,25.59,419.8,4.3
gas_shock_up50,2028,25.57,420.2,10.2
gas_shock_up50,2029,25.22,420.9,10.5
gas_shock_up50,2030,25.04,421.8,10.5
gas_shock_up50,2031,24.81,420.9,10.5
gas_shock_up50,2032,24.58,419.8,10.5
gas_shock_up50,2033,24.36,418.8,10.5
gas_shock_up50,2034,24.1,417.7,10.5
gas_shock_up50,2035,23.75,416.7,10.5
gas_shock_up50,2036,23.68,415.6,10.5
gas_glut_down30,2026,28.43,426.2,0.0
gas_glut_down30,2027,28.34,424.5,0.8
gas_glut_down30,2028,25.57,420.2,10.2
gas_glut_down30,2029,25.22,420.9,10.5
gas_glut_down30,2030,25.04,421.8,10.5
gas_glut_down30,2031,24.81,420.9,10.5
gas_glut_down30,2032,24.58,419.8,10.5
gas_glut_down30,2033,24.36,418.8,10.5
gas_glut_down30,2034,24.1,417.7,10.5
gas_glut_down30,2035,23.75,416.7,10.5
gas_glut_down30,2036,23.68,415.6,10.5
carbon_tight_x1.5,2026,28.35,424.8,0.0
carbon_tight_x1.5,2027,25.15,416.1,4.5
carbon_tight_x1.5,2028,25.08,415.8,10.5
carbon_tight_x1.5,2029,24.81,415.5,10.5
carbon_tight_x1.5,2030,24.54,415.2,10.5
carbon_tight_x1.5,2031,24.07,413.0,10.5
carbon_tight_x1.5,2032,23.59,410.7,10.5
carbon_tight_x1.5,2033,23.16,408.3,10.5
carbon_tight_x1.5,2034,22.8,407.3,10.5
carbon_tight_x1.5,2035,22.45,406.3,10.5
carbon_tight_x1.5,2036,22.1,405.3,10.5
carbon_soft_x0.6,2026,28.83,426.9,0.0
carbon_soft_x0.6,2027,28.75,425.2,0.8
carbon_soft_x0.6,2028,28.46,424.6,6.9
carbon_soft_x0.6,2029,28.48,425.3,7.1
carbon_soft_x0.6,2030,28.5,425.9,7.2
carbon_soft_x0.6,2031,28.3,424.5,7.4
carbon_soft_x0.6,2032,25.89,419.4,10.3
carbon_soft_x0.6,2033,25.8,418.2,10.3
carbon_soft_x0.6,2034,25.72,417.1,10.3
carbon_soft_x0.6,2035,25.62,415.9,10.3
carbon_soft_x0.6,2036,25.56,414.7,10.3
ccs_slip_4yrs,2026,28.43,426.2,0.0
ccs_slip_4yrs,2027,28.34,424.5,0.8
ccs_slip_4yrs,2028,25.81,420.1,10.2
ccs_slip_4yrs,2029,25.75,420.6,10.5
ccs_slip_4yrs,2030,25.88,421.5,10.5
ccs_slip_4yrs,2031,25.8,420.3,10.5
ccs_slip_4yrs,2032,25.58,419.2,10.5
ccs_slip_4yrs,2033,25.37,418.1,10.5
ccs_slip_4yrs,2034,25.15,417.1,10.5
ccs_slip_4yrs,2035,24.93,416.0,10.5
ccs_slip_4yrs,2036,24.72,414.9,10.5
