site,year,fuel,PJ
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2026,gas,0.0633
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2028,electricity,0.0036
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2028,gas,0.0584
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2030,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2032,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2034,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2036,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2038,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2040,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2042,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2044,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2046,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2048,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2050,electricity,0.0464
AH Marks Bradford CHP,2026,gas,0.4785
AH Marks Bradford CHP,2028,gas,0.4785
AH Marks Bradford CHP,2030,gas,0.4785
AH Marks Bradford CHP,2032,gas,0.4753
AH Marks Bradford CHP,2034,gas,0.4721
AH Marks Bradford CHP,2036,gas,0.469
AH Marks Bradford CHP,2038,gas,0.4676
AH Marks Bradford CHP,2040,gas,0.4197
AH Marks Bradford CHP,2040,hydrogen,0.0482
AH Marks Bradford CHP,2042,biomass,0.0494
AH Marks Bradford CHP,2042,gas,0.3719
AH Marks Bradford CHP,2042,hydrogen,0.0482
AH Marks Bradford CHP,2044,biomass,0.0494
AH Marks Bradford CHP,2044,gas,0.3764
AH Marks Bradford CHP,2044,hydrogen,0.0482
AH Marks Bradford CHP,2046,biomass,0.0494
AH Marks Bradford CHP,2046,electricity,0.294
AH Marks Bradford CHP,2046,gas,0.0551
AH Marks Bradford CHP,2046,hydrogen,0.0482
AH Marks Bradford CHP,2048,biomass,0.0494
AH Marks Bradford CHP,2048,electricity,0.294
AH Marks Bradford CHP,2048,gas,0.0537
AH Marks Bradford CHP,2048,hydrogen,0.0482
AH Marks Bradford CHP,2050,biomass,0.0494
AH Marks Bradford CHP,2050,electricity,0.294
AH Marks Bradford CHP,2050,gas,0.0523
AH Marks Bradford CHP,2050,hydrogen,0.0482
Aberthaw Cement Plant,2026,gas,1.2528
Aberthaw Cement Plant,2028,gas,1.3279
Aberthaw Cement Plant,2030,gas,1.4428
Aberthaw Cement Plant,2032,gas,1.453
Aberthaw Cement Plant,2034,gas,1.5749
Aberthaw Cement Plant,2036,gas,1.5635
Aberthaw Cement Plant,2038,gas,1.5762
Aberthaw Cement Plant,2040,gas,1.5762
Aberthaw Cement Plant,2042,gas,1.5762
Aberthaw Cement Plant,2044,gas,1.5762
Aberthaw Cement Plant,2046,gas,1.5762
Aberthaw Cement Plant,2048,gas,1.5762
Aberthaw Cement Plant,2050,gas,1.5762
Allerton Waste Recovery Park,2026,gas,1.1773
Allerton Waste Recovery Park,2028,gas,1.1773
Allerton Waste Recovery Park,2030,gas,1.1773
Allerton Waste Recovery Park,2032,gas,1.1694
Allerton Waste Recovery Park,2034,gas,1.1616
Allerton Waste Recovery Park,2036,gas,1.1537
Allerton Waste Recovery Park,2038,gas,1.1504
Allerton Waste Recovery Park,2040,gas,1.147
Allerton Waste Recovery Park,2042,gas,1.1581
Allerton Waste Recovery Park,2044,electricity,0.9335
Allerton Waste Recovery Park,2044,gas,0.1389
Allerton Waste Recovery Park,2046,electricity,0.9335
Allerton Waste Recovery Park,2046,gas,0.1355
Allerton Waste Recovery Park,2048,electricity,0.9335
Allerton Waste Recovery Park,2048,gas,0.1321
Allerton Waste Recovery Park,2050,electricity,0.9335
Allerton Waste Recovery Park,2050,gas,0.1288
Allied Glass Containers Ltd - Knottingley,2026,biomass,0.1822
Allied Glass Containers Ltd - Knottingley,2026,gas,0.6857
Allied Glass Containers Ltd - Knottingley,2028,biomass,0.1822
Allied Glass Containers Ltd - Knottingley,2028,gas,0.6857
Allied Glass Containers Ltd - Knottingley,2030,biomass,0.1822
Allied Glass Containers Ltd - Knottingley,2030,gas,0.6857
Allied Glass Containers Ltd - Knottingley,2032,biomass,0.1822
Allied Glass Containers Ltd - Knottingley,2032,gas,0.0212
Allied Glass Containers Ltd - Knottingley,2032,hydrogen,0.6825
Allied Glass Containers Ltd - Knottingley,2034,biomass,0.1822
Allied Glass Containers Ltd - Knottingley,2034,gas,0.0155
Allied Glass Containers Ltd - Knottingley,2034,hydrogen,0.6825
Allied Glass Containers Ltd - Knottingley,2036,biomass,0.1822
Allied Glass Containers Ltd - Knottingley,2036,gas,0.0098
Allied Glass Containers Ltd - Knottingley,2036,hydrogen,0.6825
Allied Glass Containers Ltd - Knottingley,2038,biomass,0.1822
Allied Glass Containers Ltd - Knottingley,2038,gas,0.0073
Allied Glass Containers Ltd - Knottingley,2038,hydrogen,0.6825
Allied Glass Containers Ltd - Knottingley,2040,biomass,0.1822
Allied Glass Containers Ltd - Knottingley,2040,gas,0.0049
Allied Glass Containers Ltd - Knottingley,2040,hydrogen,0.6825
Allied Glass Containers Ltd - Knottingley,2042,biomass,0.1822
Allied Glass Containers Ltd - Knottingley,2042,gas,0.0024
Allied Glass Containers Ltd - Knottingley,2042,hydrogen,0.6825
Allied Glass Containers Ltd - Knottingley,2044,biomass,0.1822
Allied Glass Containers Ltd - Knottingley,2044,hydrogen,0.6825
Allied Glass Containers Ltd - Knottingley,2046,biomass,0.1796
Allied Glass Containers Ltd - Knottingley,2046,hydrogen,0.6825
Allied Glass Containers Ltd - Knottingley,2048,biomass,0.1796
Allied Glass Containers Ltd - Knottingley,2048,hydrogen,0.68
Allied Glass Containers Ltd - Knottingley,2050,biomass,0.1796
Allied Glass Containers Ltd - Knottingley,2050,hydrogen,0.6774
Allington Quarry,2026,gas,1.7273
Allington Quarry,2028,gas,1.7273
Allington Quarry,2030,gas,1.7273
Allington Quarry,2032,gas,1.7158
Allington Quarry,2034,gas,1.7042
Allington Quarry,2036,gas,1.6927
Allington Quarry,2038,gas,1.6878
Allington Quarry,2040,gas,1.6829
Allington Quarry,2042,gas,1.6991
Allington Quarry,2044,electricity,1.3695
Allington Quarry,2044,gas,0.2038
Allington Quarry,2046,electricity,1.3695
Allington Quarry,2046,gas,0.1988
Allington Quarry,2048,electricity,1.3695
Allington Quarry,2048,gas,0.1939
Allington Quarry,2050,electricity,1.3695
Allington Quarry,2050,gas,0.189
Archer Daniels Midland Erith Ltd,2026,biomass,0.0001
Archer Daniels Midland Erith Ltd,2026,gas,1.3173
Archer Daniels Midland Erith Ltd,2028,biomass,0.0001
Archer Daniels Midland Erith Ltd,2028,gas,1.3339
Archer Daniels Midland Erith Ltd,2030,biomass,0.0001
Archer Daniels Midland Erith Ltd,2030,gas,1.3505
Archer Daniels Midland Erith Ltd,2032,biomass,0.1308
Archer Daniels Midland Erith Ltd,2032,gas,1.2188
Archer Daniels Midland Erith Ltd,2034,biomass,0.1308
Archer Daniels Midland Erith Ltd,2034,gas,1.217
Archer Daniels Midland Erith Ltd,2034,hydrogen,0.0078
Archer Daniels Midland Erith Ltd,2036,biomass,0.2615
Archer Daniels Midland Erith Ltd,2036,gas,1.0853
Archer Daniels Midland Erith Ltd,2036,hydrogen,0.0078
Archer Daniels Midland Erith Ltd,2038,biomass,0.2615
Archer Daniels Midland Erith Ltd,2038,gas,1.0977
