site,cluster,tech,pathway_year,earliest,latest,n_worlds,forecast_year,cap_forced
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,Unmapped,eaf,2028.0,2028,2028,7,2028.0,
AH Marks Bradford CHP,Dispersed,biomass_boiler,2042.0,2042,2042,7,,yes
AH Marks Bradford CHP,Dispersed,elec_boiler,2046.0,2044,2046,6,,yes
AH Marks Bradford CHP,Dispersed,gas_boiler_ccs,2044.0,2040,2044,6,,yes
AH Marks Bradford CHP,Dispersed,heat_pump,,2040,2040,1,,yes
AH Marks Bradford CHP,Dispersed,hydrogen_boiler,2040.0,2038,2040,6,,yes
Aberthaw Cement Plant,Dispersed,cement_kiln_ccs,2028.0,2028,2038,7,2028.0,
Allerton Waste Recovery Park,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Allerton Waste Recovery Park,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Allied Glass Containers Ltd - Knottingley,Dispersed,hydrogen_boiler,2032.0,2030,2032,7,2034.0,earlier
Allington Quarry,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Allington Quarry,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Archer Daniels Midland Erith Ltd,Unmapped,biomass_boiler,2032.0,2028,2032,6,,yes
Archer Daniels Midland Erith Ltd,Unmapped,elec_boiler,,2044,2044,2,,yes
Archer Daniels Midland Erith Ltd,Unmapped,gas_boiler_ccs,2028.0,2028,2036,7,,yes
Archer Daniels Midland Erith Ltd,Unmapped,heat_pump,2042.0,2034,2042,6,,yes
Archer Daniels Midland Erith Ltd,Unmapped,hydrogen_boiler,2034.0,2028,2034,7,,yes
Ardagh Glass - Headlands,Unmapped,hydrogen_boiler,2032.0,2030,2032,7,2038.0,earlier
Ardagh Glass - Wheatley,Unmapped,elec_boiler,,2044,2044,1,,yes
Ardagh Glass - Wheatley,Unmapped,gas_boiler_ccs,2028.0,2028,2032,7,,yes
Ardagh Glass - Wheatley,Unmapped,heat_pump,,2036,2042,2,,yes
Ardagh Glass - Wheatley,Unmapped,hydrogen_boiler,2032.0,2030,2032,7,,yes
Ardagh Glass Limited,Unmapped,elec_boiler,,2044,2044,2,,yes
Ardagh Glass Limited,Unmapped,gas_boiler_ccs,2028.0,2028,2028,6,,yes
Ardagh Glass Limited,Unmapped,heat_pump,2038.0,2034,2038,7,,yes
Ardagh Glass Limited,Unmapped,hydrogen_boiler,2032.0,2028,2032,7,,yes
Ardagh Glass Ltd,Unmapped,biomass_boiler,,2028,2028,1,,yes
Ardagh Glass Ltd,Unmapped,elec_boiler,,2044,2044,1,,yes
Ardagh Glass Ltd,Unmapped,gas_boiler_ccs,2030.0,2028,2034,7,,yes
Ardagh Glass Ltd,Unmapped,heat_pump,2038.0,2036,2040,7,,yes
Ardagh Glass Ltd,Unmapped,hydrogen_boiler,2034.0,2028,2034,7,,yes
Ardley Landfill,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Ardley Landfill,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Austerfield Works,Dispersed,biomass_boiler,2040.0,2040,2042,7,,yes
Austerfield Works,Dispersed,elec_boiler,2046.0,2044,2046,6,,yes
Austerfield Works,Dispersed,gas_boiler_ccs,2044.0,2040,2046,7,,yes
Austerfield Works,Dispersed,hydrogen_boiler,,2038,2040,2,,yes
Barrow Mill,Dispersed,biomass_boiler,2028.0,2028,2028,4,,yes
Barrow Mill,Dispersed,hydrogen_boiler,2032.0,2030,2032,7,,yes
Barry,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Barry,Dispersed,elec_boiler,,2044,2048,2,,yes
Barry,Dispersed,heat_pump,2046.0,2046,2046,6,,yes
Battlefield EfW,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Battlefield EfW,Dispersed,elec_boiler,2046.0,2044,2048,7,,yes
Battlefield EfW,Dispersed,gas_boiler_ccs,,2042,2042,1,,yes
Battlefield EfW,Dispersed,heat_pump,2048.0,2046,2048,6,,yes
Beatson Clark plc - Rotherham,Dispersed,hydrogen_boiler,2032.0,2030,2032,7,2034.0,earlier
Beckton STW,Dispersed,biomass_boiler,2044.0,2044,2044,6,,yes
Beckton STW,Dispersed,elec_boiler,2048.0,2048,2048,6,,yes
Beckton STW,Dispersed,gas_boiler_ccs,,2048,2048,1,,yes
Beckton STW,Dispersed,hydrogen_boiler,2042.0,2042,2044,7,,yes
Beddington ERF,Dispersed,biomass_boiler,,2042,2042,1,,yes
Beddington ERF,Dispersed,gas_boiler_ccs,2044.0,2040,2044,6,,yes
Beddington ERF,Dispersed,heat_pump,,2040,2044,2,,yes
Beddington ERF,Dispersed,hydrogen_boiler,2038.0,2038,2042,7,,yes
Belfast,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Belfast,Dispersed,elec_boiler,,2050,2050,1,,yes
Belfast,Dispersed,gas_boiler_ccs,,2046,2046,1,,yes
Belfast,Dispersed,heat_pump,2044.0,2044,2046,7,,yes
Belfast,Dispersed,hydrogen_boiler,,2042,2050,2,,yes
Belfast (2),Dispersed,biomass_boiler,2042.0,2042,2042,5,,yes
Belfast (2),Dispersed,elec_boiler,2044.0,2044,2046,6,,yes
Belfast (2),Dispersed,gas_boiler_ccs,,2042,2044,2,,yes
Belfast (2),Dispersed,heat_pump,2050.0,2042,2050,6,,yes
Belfast (2),Dispersed,hydrogen_boiler,,2050,2050,2,,yes
Belvedere,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Belvedere,Dispersed,gas_boiler_ccs,2042.0,2042,2042,7,,yes
Billingham Fertilizer Works,Unmapped,hydrogen_boiler,2030.0,2030,2030,7,,yes
Bolton,Dispersed,biomass_boiler,2042.0,2042,2042,7,,yes
Bolton,Dispersed,elec_boiler,,2044,2044,1,,yes
Bolton,Dispersed,gas_boiler_ccs,2044.0,2044,2044,6,,yes
Bolton,Dispersed,heat_pump,2046.0,2046,2046,6,,yes
Bolton,Dispersed,hydrogen_boiler,2048.0,2048,2048,6,,yes
Bones Lane Factory,Dispersed,hydrogen_boiler,2032.0,2030,2032,7,2034.0,earlier
Bridgend Operation,South Wales,hydrogen_boiler,2032.0,2030,2032,7,2038.0,earlier
Bridgewater Diary,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Bridgewater Diary,Dispersed,elec_boiler,2044.0,2044,2046,6,,yes
Bridgewater Diary,Dispersed,heat_pump,,2044,2044,1,,yes
Bridgewater Diary,Dispersed,hydrogen_boiler,,2044,2044,1,,yes
British Sugar plc - Newark,Dispersed,biomass_boiler,,2030,2030,1,,yes
British Sugar plc - Newark,Dispersed,elec_boiler,,2044,2044,1,,yes
British Sugar plc - Newark,Dispersed,gas_boiler_ccs,2028.0,2028,2032,7,,yes
British Sugar plc - Newark,Dispersed,heat_pump,2038.0,2036,2038,7,,yes
British Sugar plc - Newark,Dispersed,hydrogen_boiler,2034.0,2028,2034,7,,yes
Bromborough,Merseyside,biomass_boiler,2040.0,2040,2046,7,,yes
Bromborough,Merseyside,gas_boiler_ccs,,2046,2046,1,,yes
Bromborough,Merseyside,heat_pump,2046.0,2042,2046,6,,yes
Bromborough,Merseyside,hydrogen_boiler,,2038,2046,4,,yes
Broomfleet Works,Humberside,biomass_boiler,2042.0,2042,2042,6,,yes
Broomfleet Works,Humberside,elec_boiler,2046.0,2046,2046,6,,yes
Broomfleet Works,Humberside,gas_boiler_ccs,,2046,2046,1,,yes
Broomfleet Works,Humberside,hydrogen_boiler,,2042,2042,1,,yes
Burton Latimer,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Burton Latimer,Dispersed,elec_boiler,2048.0,2048,2048,6,,yes
Burton Latimer,Dispersed,gas_boiler_ccs,,2046,2046,1,,yes
Burton Latimer,Dispersed,heat_pump,2046.0,2042,2046,7,,yes
Bury St Edmunds Sugar Factory,Dispersed,biomass_boiler,,2028,2028,1,2042.0,
Bury St Edmunds Sugar Factory,Dispersed,elec_boiler,,2044,2044,1,,yes
Bury St Edmunds Sugar Factory,Dispersed,gas_boiler_ccs,2032.0,2032,2034,7,2038.0,earlier
Bury St Edmunds Sugar Factory,Dispersed,heat_pump,2038.0,2036,2038,7,,yes
Bury St Edmunds Sugar Factory,Dispersed,hydrogen_boiler,2034.0,2028,2034,7,2040.0,earlier
Cambuslang,Dispersed,elec_boiler,,2046,2046,1,,yes
Cambuslang,Dispersed,gas_boiler_ccs,,2050,2050,1,,yes
Cambuslang,Dispersed,heat_pump,2046.0,2046,2048,7,,yes
Cambuslang,Dispersed,hydrogen_boiler,2042.0,2042,2042,7,,yes
Cantley Sugar Factory,Unmapped,hydrogen_boiler,2032.0,2030,2032,7,2036.0,earlier
Cargill - Trafford Park,Dispersed,elec_boiler,,2044,2044,1,,yes
Cargill - Trafford Park,Dispersed,gas_boiler_ccs,2028.0,2028,2032,7,,yes
Cargill - Trafford Park,Dispersed,heat_pump,2036.0,2036,2040,7,,yes
Cargill - Trafford Park,Dispersed,hydrogen_boiler,2030.0,2028,2030,7,,yes
Cauldon Cement,Dispersed,cement_kiln_ccs,2028.0,2028,2028,6,2028.0,
Caw House,Dispersed,elec_boiler,2046.0,2046,2046,7,,yes
Caw House,Dispersed,gas_boiler_ccs,2044.0,2044,2044,6,,yes
Caw House,Dispersed,heat_pump,2042.0,2042,2048,6,,yes
Caw House,Dispersed,hydrogen_boiler,,2042,2042,2,,yes
Chineham,Dispersed,biomass_boiler,2040.0,2040,2042,7,,yes
Chineham,Dispersed,elec_boiler,2046.0,2046,2046,7,,yes
Chineham,Dispersed,gas_boiler_ccs,,2040,2040,1,,yes
Chineham,Dispersed,heat_pump,,2040,2044,2,,yes
Chineham,Dispersed,hydrogen_boiler,,2038,2040,2,,yes
Chirnside,Dispersed,biomass_boiler,,2042,2042,1,,yes
Chirnside,Dispersed,elec_boiler,,2046,2046,1,,yes
Chirnside,Dispersed,heat_pump,,2040,2040,1,,yes
Chirnside,Dispersed,hydrogen_boiler,2038.0,2038,2040,7,,yes
Colnbrook,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Colnbrook,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Cookstown Cement,Dispersed,cement_kiln_ccs,2028.0,2028,2050,7,2028.0,
Cornwall Energy Recovery Centre,Dispersed,biomass_boiler,2040.0,2040,2042,6,,yes
Cornwall Energy Recovery Centre,Dispersed,gas_boiler_ccs,,2040,2040,1,,yes
Cornwall Energy Recovery Centre,Dispersed,heat_pump,,2040,2040,1,,yes
Cornwall Energy Recovery Centre,Dispersed,hydrogen_boiler,2038.0,2038,2044,7,,yes
Coventry,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Coventry,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Cowley,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Cowley,Dispersed,elec_boiler,,2046,2046,1,,yes
Cowley,Dispersed,gas_boiler_ccs,2044.0,2044,2044,6,,yes
Cowley,Dispersed,heat_pump,,2040,2040,1,,yes
Cowley,Dispersed,hydrogen_boiler,2038.0,2038,2040,7,,yes
Craigavon,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
