site,year,ktCO2e
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2026,39.11095999999999
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2027,37.723767615999996
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2028,36.23621864799988
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2029,2.0001111999999996
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2030,1.830214
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2031,1.7522284000000004
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2032,1.6742427999999998
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2033,1.5962571999999997
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2034,1.5182715999999998
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2035,1.440286
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2036,1.4147549999999929
Aberthaw Cement Plant,2026,250.28353440000004
Aberthaw Cement Plant,2027,257.0115864
Aberthaw Cement Plant,2028,251.78981251200003
Aberthaw Cement Plant,2029,243.76683612000002
Aberthaw Cement Plant,2030,235.74385972800002
Aberthaw Cement Plant,2031,227.23612488
Aberthaw Cement Plant,2032,218.72839003200002
Aberthaw Cement Plant,2033,210.220655184
Aberthaw Cement Plant,2034,201.71292033600005
Aberthaw Cement Plant,2035,184.69745064000003
Aberthaw Cement Plant,2036,184.69745064000003
Allied Glass Containers Ltd - Knottingley,2026,43.88567040000001
Allied Glass Containers Ltd - Knottingley,2027,43.88567040000001
Allied Glass Containers Ltd - Knottingley,2028,43.88567040000001
Allied Glass Containers Ltd - Knottingley,2029,43.88567040000001
Allied Glass Containers Ltd - Knottingley,2030,43.88567040000001
Allied Glass Containers Ltd - Knottingley,2031,43.73938483200001
Allied Glass Containers Ltd - Knottingley,2032,43.59309926400001
Allied Glass Containers Ltd - Knottingley,2033,43.446813696
Allied Glass Containers Ltd - Knottingley,2034,43.300528128
Allied Glass Containers Ltd - Knottingley,2035,43.15424256000001
Allied Glass Containers Ltd - Knottingley,2036,43.007956992000004
Archer Daniels Midland Erith Ltd,2026,67.44480768000001
Archer Daniels Midland Erith Ltd,2027,67.44480768000001
Archer Daniels Midland Erith Ltd,2028,67.44480768000001
Archer Daniels Midland Erith Ltd,2029,67.44480768000001
Archer Daniels Midland Erith Ltd,2030,67.44480768000003
Archer Daniels Midland Erith Ltd,2031,67.21998028800003
Archer Daniels Midland Erith Ltd,2032,66.99515289600002
Archer Daniels Midland Erith Ltd,2033,66.77032550400001
Archer Daniels Midland Erith Ltd,2034,66.54549811200002
Archer Daniels Midland Erith Ltd,2035,66.32067072000002
Archer Daniels Midland Erith Ltd,2036,66.09584332800002
Ardagh Glass - Headlands,2026,43.00591104000001
Ardagh Glass - Headlands,2027,43.00591104000001
Ardagh Glass - Headlands,2028,43.00591104000001
Ardagh Glass - Headlands,2029,43.00591104000001
Ardagh Glass - Headlands,2030,43.005911040000015
Ardagh Glass - Headlands,2031,42.86254284800001
Ardagh Glass - Headlands,2032,42.719174656000014
Ardagh Glass - Headlands,2033,42.57580646400001
Ardagh Glass - Headlands,2034,42.432438272
Ardagh Glass - Headlands,2035,42.289070080000016
Ardagh Glass - Headlands,2036,42.145701888000005
Ardagh Glass - Wheatley,2026,111.75444480000002
Ardagh Glass - Wheatley,2027,111.75444480000002
Ardagh Glass - Wheatley,2028,111.75444480000002
Ardagh Glass - Wheatley,2029,111.75444480000002
Ardagh Glass - Wheatley,2030,111.75444480000003
Ardagh Glass - Wheatley,2031,111.38192998400001
Ardagh Glass - Wheatley,2032,111.00941516800002
Ardagh Glass - Wheatley,2033,110.636900352
Ardagh Glass - Wheatley,2034,110.264385536
Ardagh Glass - Wheatley,2035,109.89187072000003
Ardagh Glass - Wheatley,2036,109.51935590400001
Ardagh Glass Limited,2026,66.87194112000002
Ardagh Glass Limited,2027,66.87194112000002
Ardagh Glass Limited,2028,66.87194112000002
Ardagh Glass Limited,2029,66.87194112000002
Ardagh Glass Limited,2030,66.87194112000002
Ardagh Glass Limited,2031,66.64902707200001
Ardagh Glass Limited,2032,66.42611302400002
Ardagh Glass Limited,2033,66.203198976
Ardagh Glass Limited,2034,65.980284928
Ardagh Glass Limited,2035,65.75737088000001
Ardagh Glass Limited,2036,65.53445683200002
Ardagh Glass Ltd,2026,119.20227840000001
Ardagh Glass Ltd,2027,119.20227840000001
Ardagh Glass Ltd,2028,119.20227840000001
Ardagh Glass Ltd,2029,119.20227840000001
Ardagh Glass Ltd,2030,119.20227840000003
Ardagh Glass Ltd,2031,118.80492800000002
Ardagh Glass Ltd,2032,118.4075776
Ardagh Glass Ltd,2033,118.01022719999999
Ardagh Glass Ltd,2034,117.6128768
Ardagh Glass Ltd,2035,117.2155264
Ardagh Glass Ltd,2036,116.81817600000001
Barrow Mill,2026,33.25808640000001
Barrow Mill,2027,33.25808640000001
Barrow Mill,2028,33.25808640000001
Barrow Mill,2029,33.25808640000001
Barrow Mill,2030,33.25808640000001
Barrow Mill,2031,33.147226112000006
Barrow Mill,2032,33.03636582400001
Barrow Mill,2033,32.925505535999996
Barrow Mill,2034,32.814645248000005
Barrow Mill,2035,32.70378496000001
Barrow Mill,2036,32.592924672
Beatson Clark plc - Rotherham,2026,46.14133248000001
Beatson Clark plc - Rotherham,2027,46.14133248000001
Beatson Clark plc - Rotherham,2028,46.14133248000001
Beatson Clark plc - Rotherham,2029,46.14133248000001
Beatson Clark plc - Rotherham,2030,46.14133248000001
Beatson Clark plc - Rotherham,2031,45.98752614400001
Beatson Clark plc - Rotherham,2032,45.83371980800001
Beatson Clark plc - Rotherham,2033,45.679913471999996
Beatson Clark plc - Rotherham,2034,45.526107136
Beatson Clark plc - Rotherham,2035,45.37230080000001
Beatson Clark plc - Rotherham,2036,45.21849446400001
Billingham Fertilizer Works,2026,34.1617152
Billingham Fertilizer Works,2027,34.1617152
Billingham Fertilizer Works,2028,34.1617152
Billingham Fertilizer Works,2029,34.1617152
Billingham Fertilizer Works,2030,34.16171520000001
Billingham Fertilizer Works,2031,34.047842816000006
Billingham Fertilizer Works,2032,33.93397043200001
Billingham Fertilizer Works,2033,33.820098048
Billingham Fertilizer Works,2034,33.706225664
Billingham Fertilizer Works,2035,33.592353280000005
Billingham Fertilizer Works,2036,33.478480896
Bones Lane Factory,2026,42.59160576000001
Bones Lane Factory,2027,42.59160576000001
Bones Lane Factory,2028,42.59160576000001
Bones Lane Factory,2029,42.59160576000001
Bones Lane Factory,2030,42.591605760000014
Bones Lane Factory,2031,42.449620480000014
Bones Lane Factory,2032,42.307635200000014
Bones Lane Factory,2033,42.16564992
Bones Lane Factory,2034,42.02366464000001
Bones Lane Factory,2035,41.881679360000014
Bones Lane Factory,2036,41.739694080000014
Bridgend Operation,2026,43.13889792000001
Bridgend Operation,2027,43.13889792000001
Bridgend Operation,2028,43.13889792000001
Bridgend Operation,2029,43.13889792000001
Bridgend Operation,2030,43.13889792000001
Bridgend Operation,2031,42.99509401600002
Bridgend Operation,2032,42.851290112000015
Bridgend Operation,2033,42.707486208000006
Bridgend Operation,2034,42.563682304000004
Bridgend Operation,2035,42.419878400000016
Bridgend Operation,2036,42.276074496000014
British Sugar plc - Newark,2026,93.22891776000002
British Sugar plc - Newark,2027,93.22891776000002
British Sugar plc - Newark,2028,93.22891776000002
British Sugar plc - Newark,2029,93.22891776000002
British Sugar plc - Newark,2030,93.22891776000003
British Sugar plc - Newark,2031,92.91814144000003
British Sugar plc - Newark,2032,92.60736512000003
British Sugar plc - Newark,2033,92.29658880000001
British Sugar plc - Newark,2034,91.98581248
British Sugar plc - Newark,2035,91.67503616000003
British Sugar plc - Newark,2036,91.36425984000002
Bury St Edmunds Sugar Factory,2026,227.526912
Bury St Edmunds Sugar Factory,2027,227.526912
Bury St Edmunds Sugar Factory,2028,227.526912
Bury St Edmunds Sugar Factory,2029,227.526912
Bury St Edmunds Sugar Factory,2030,227.52691200000004
Bury St Edmunds Sugar Factory,2031,226.76848896
Bury St Edmunds Sugar Factory,2032,226.01006592000005
Bury St Edmunds Sugar Factory,2033,225.25164288
Bury St Edmunds Sugar Factory,2034,224.49321984000002
Bury St Edmunds Sugar Factory,2035,223.73479680000003
Bury St Edmunds Sugar Factory,2036,222.97637376000003
Cantley Sugar Factory,2026,42.325632000000006
Cantley Sugar Factory,2027,42.325632000000006
Cantley Sugar Factory,2028,42.325632000000006
Cantley Sugar Factory,2029,42.325632000000006
Cantley Sugar Factory,2030,42.32563200000001
Cantley Sugar Factory,2031,42.184537088000006
Cantley Sugar Factory,2032,42.04344217600001
Cantley Sugar Factory,2033,41.902347264
Cantley Sugar Factory,2034,41.761252352
Cantley Sugar Factory,2035,41.62015744000001
Cantley Sugar Factory,2036,41.479062528000014
Cargill - Trafford Park,2026,116.43740160000002
Cargill - Trafford Park,2027,116.43740160000002
Cargill - Trafford Park,2028,116.43740160000002
Cargill - Trafford Park,2029,116.43740160000002
Cargill - Trafford Park,2030,116.43740160000003
Cargill - Trafford Park,2031,116.04927692800003
Cargill - Trafford Park,2032,115.66115225600004
Cargill - Trafford Park,2033,115.273027584
Cargill - Trafford Park,2034,114.88490291200002
Cargill - Trafford Park,2035,114.49677824000003
Cargill - Trafford Park,2036,114.10865356800001
Cauldon Cement,2026,518.9042880000001
Cauldon Cement,2027,532.853328
