site,year,fuel,PJ
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2026,gas,0.0633
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2027,electricity,0.0018
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2027,gas,0.0609
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2028,electricity,0.0036
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2028,gas,0.0584
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2029,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2030,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2031,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2032,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2033,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2034,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2035,electricity,0.0464
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,2036,electricity,0.0464
AH Marks Bradford CHP,2026,gas,0.4785
AH Marks Bradford CHP,2027,gas,0.4785
AH Marks Bradford CHP,2028,gas,0.4785
AH Marks Bradford CHP,2029,gas,0.4785
AH Marks Bradford CHP,2030,gas,0.4785
AH Marks Bradford CHP,2031,gas,0.4769
AH Marks Bradford CHP,2032,gas,0.4753
AH Marks Bradford CHP,2033,gas,0.4737
AH Marks Bradford CHP,2034,gas,0.4721
AH Marks Bradford CHP,2035,gas,0.4705
AH Marks Bradford CHP,2036,gas,0.469
Aberthaw Cement Plant,2026,gas,1.2528
Aberthaw Cement Plant,2027,gas,1.2865
Aberthaw Cement Plant,2028,gas,1.3274
Aberthaw Cement Plant,2029,gas,1.3851
Aberthaw Cement Plant,2030,gas,1.4428
Aberthaw Cement Plant,2031,gas,1.4479
Aberthaw Cement Plant,2032,gas,1.453
Aberthaw Cement Plant,2033,gas,1.4581
Aberthaw Cement Plant,2034,gas,1.4633
Aberthaw Cement Plant,2035,gas,1.4735
Aberthaw Cement Plant,2036,gas,1.4735
Allerton Waste Recovery Park,2026,gas,1.1773
Allerton Waste Recovery Park,2027,gas,1.1773
Allerton Waste Recovery Park,2028,gas,1.1773
Allerton Waste Recovery Park,2029,gas,1.1773
Allerton Waste Recovery Park,2030,gas,1.1773
Allerton Waste Recovery Park,2031,gas,1.1733
Allerton Waste Recovery Park,2032,gas,1.1694
Allerton Waste Recovery Park,2033,gas,1.1655
Allerton Waste Recovery Park,2034,gas,1.1616
Allerton Waste Recovery Park,2035,gas,1.1576
Allerton Waste Recovery Park,2036,gas,1.1537
Allied Glass Containers Ltd - Knottingley,2026,gas,0.8571
Allied Glass Containers Ltd - Knottingley,2027,gas,0.8571
Allied Glass Containers Ltd - Knottingley,2028,gas,0.8571
Allied Glass Containers Ltd - Knottingley,2029,gas,0.8571
Allied Glass Containers Ltd - Knottingley,2030,gas,0.8571
Allied Glass Containers Ltd - Knottingley,2031,gas,0.8543
Allied Glass Containers Ltd - Knottingley,2032,gas,0.8514
Allied Glass Containers Ltd - Knottingley,2033,gas,0.8486
Allied Glass Containers Ltd - Knottingley,2034,gas,0.8457
Allied Glass Containers Ltd - Knottingley,2035,gas,0.8429
Allied Glass Containers Ltd - Knottingley,2036,gas,0.84
Allington Quarry,2026,gas,1.7273
Allington Quarry,2027,gas,1.7273
Allington Quarry,2028,gas,1.7273
Allington Quarry,2029,gas,1.7273
Allington Quarry,2030,gas,1.7273
Allington Quarry,2031,gas,1.7215
Allington Quarry,2032,gas,1.7158
Allington Quarry,2033,gas,1.71
Allington Quarry,2034,gas,1.7042
Allington Quarry,2035,gas,1.6985
Allington Quarry,2036,gas,1.6927
Archer Daniels Midland Erith Ltd,2026,biomass,0.0001
Archer Daniels Midland Erith Ltd,2026,gas,1.3173
Archer Daniels Midland Erith Ltd,2027,biomass,0.0001
Archer Daniels Midland Erith Ltd,2027,gas,1.3173
Archer Daniels Midland Erith Ltd,2028,biomass,0.0001
Archer Daniels Midland Erith Ltd,2028,gas,1.3173
Archer Daniels Midland Erith Ltd,2029,biomass,0.0001
Archer Daniels Midland Erith Ltd,2029,gas,1.3173
Archer Daniels Midland Erith Ltd,2030,biomass,0.0001
Archer Daniels Midland Erith Ltd,2030,gas,1.3173
Archer Daniels Midland Erith Ltd,2031,biomass,0.0001
Archer Daniels Midland Erith Ltd,2031,gas,1.3129
Archer Daniels Midland Erith Ltd,2032,biomass,0.0001
Archer Daniels Midland Erith Ltd,2032,gas,1.3085
Archer Daniels Midland Erith Ltd,2033,biomass,0.0001
Archer Daniels Midland Erith Ltd,2033,gas,1.3041
Archer Daniels Midland Erith Ltd,2034,biomass,0.0001
Archer Daniels Midland Erith Ltd,2034,gas,1.2997
Archer Daniels Midland Erith Ltd,2035,biomass,0.0001
Archer Daniels Midland Erith Ltd,2035,gas,1.2953
Archer Daniels Midland Erith Ltd,2036,biomass,0.0001
Archer Daniels Midland Erith Ltd,2036,gas,1.2909
Ardagh Glass - Headlands,2026,biomass,0.0001
Ardagh Glass - Headlands,2026,gas,0.84
Ardagh Glass - Headlands,2027,biomass,0.0001
Ardagh Glass - Headlands,2027,gas,0.84
Ardagh Glass - Headlands,2028,biomass,0.0001
Ardagh Glass - Headlands,2028,gas,0.84
Ardagh Glass - Headlands,2029,biomass,0.0001
Ardagh Glass - Headlands,2029,gas,0.84
Ardagh Glass - Headlands,2030,biomass,0.0001
Ardagh Glass - Headlands,2030,gas,0.84
Ardagh Glass - Headlands,2031,biomass,0.0001
Ardagh Glass - Headlands,2031,gas,0.8372
Ardagh Glass - Headlands,2032,biomass,0.0001
Ardagh Glass - Headlands,2032,gas,0.8344
Ardagh Glass - Headlands,2033,biomass,0.0001
Ardagh Glass - Headlands,2033,gas,0.8316
Ardagh Glass - Headlands,2034,biomass,0.0001
Ardagh Glass - Headlands,2034,gas,0.8288
Ardagh Glass - Headlands,2035,biomass,0.0001
Ardagh Glass - Headlands,2035,gas,0.826
Ardagh Glass - Headlands,2036,biomass,0.0001
Ardagh Glass - Headlands,2036,gas,0.8232
Ardagh Glass - Wheatley,2026,gas,2.1827
Ardagh Glass - Wheatley,2027,gas,2.1827
Ardagh Glass - Wheatley,2028,gas,2.1827
Ardagh Glass - Wheatley,2029,gas,2.1827
Ardagh Glass - Wheatley,2030,gas,2.1827
