site,tech,year,units
Scunthorpe Integrated Iron & Steel Works,bof,2026,1.6456
Scunthorpe Integrated Iron & Steel Works,bof,2027,1.5797
Scunthorpe Integrated Iron & Steel Works,eaf,2027,0.0659
Scunthorpe Integrated Iron & Steel Works,eaf,2028,1.6456
Scunthorpe Integrated Iron & Steel Works,eaf,2029,1.6456
Scunthorpe Integrated Iron & Steel Works,eaf,2030,1.6456
Scunthorpe Integrated Iron & Steel Works,eaf,2031,1.6456
Scunthorpe Integrated Iron & Steel Works,eaf,2032,1.6456
Scunthorpe Integrated Iron & Steel Works,eaf,2033,1.6456
Scunthorpe Integrated Iron & Steel Works,eaf,2034,1.6456
Scunthorpe Integrated Iron & Steel Works,eaf,2035,1.6456
Scunthorpe Integrated Iron & Steel Works,eaf,2036,1.6456
"Valero, Pembroke",gas_boiler,2026,45.6835
"Valero, Pembroke",gas_boiler,2027,45.6835
"Valero, Pembroke",gas_boiler,2028,45.6835
"Valero, Pembroke",gas_boiler,2029,45.6835
"Valero, Pembroke",gas_boiler,2030,45.6835
"Valero, Pembroke",gas_boiler,2031,45.5312
"Valero, Pembroke",gas_boiler,2032,45.3789
"Valero, Pembroke",gas_boiler,2033,45.2267
"Valero, Pembroke",gas_boiler,2034,45.0744
"Valero, Pembroke",gas_boiler,2035,44.9221
"Valero, Pembroke",gas_boiler,2036,44.7698
Esso Petroleum Company Limited,gas_boiler,2026,44.287
Esso Petroleum Company Limited,gas_boiler,2027,44.287
Esso Petroleum Company Limited,gas_boiler,2028,44.287
Esso Petroleum Company Limited,gas_boiler,2029,44.287
Esso Petroleum Company Limited,gas_boiler,2030,44.287
Esso Petroleum Company Limited,gas_boiler,2031,44.1394
Esso Petroleum Company Limited,gas_boiler,2032,43.9918
Esso Petroleum Company Limited,gas_boiler,2033,43.8441
Esso Petroleum Company Limited,gas_boiler,2034,43.6965
Esso Petroleum Company Limited,gas_boiler,2035,43.5489
Esso Petroleum Company Limited,gas_boiler,2036,43.4013
Humber Refinery,gas_boiler,2026,37.1762
Humber Refinery,gas_boiler,2027,37.1762
Humber Refinery,gas_boiler,2028,37.1762
Humber Refinery,gas_boiler,2029,37.1762
Humber Refinery,gas_boiler,2030,37.1762
Humber Refinery,gas_boiler,2031,37.0523
Humber Refinery,gas_boiler,2032,36.9284
Humber Refinery,gas_boiler,2033,36.8044
Humber Refinery,gas_boiler,2034,36.6805
Humber Refinery,gas_boiler,2035,36.5566
Humber Refinery,gas_boiler,2036,36.4327
Stanlow Manufacturing Complex,gas_boiler,2026,30.7822
Stanlow Manufacturing Complex,gas_boiler,2027,30.7822
Stanlow Manufacturing Complex,gas_boiler,2028,30.7822
Stanlow Manufacturing Complex,gas_boiler,2029,30.7822
Stanlow Manufacturing Complex,gas_boiler,2030,30.7822
Stanlow Manufacturing Complex,gas_boiler,2031,30.6796
Stanlow Manufacturing Complex,gas_boiler,2032,30.577
Stanlow Manufacturing Complex,gas_boiler,2033,30.4744
Stanlow Manufacturing Complex,gas_boiler,2034,30.3718
Stanlow Manufacturing Complex,gas_boiler,2035,30.2692
Stanlow Manufacturing Complex,gas_boiler,2036,30.1666
Hope Cement Works,cement_kiln,2026,1.1065
Hope Cement Works,cement_kiln,2027,1.1363
Hope Cement Works,cement_kiln,2028,1.1105
Hope Cement Works,cement_kiln,2029,1.0708
Hope Cement Works,cement_kiln,2030,1.0312
Hope Cement Works,cement_kiln,2031,0.9915
Hope Cement Works,cement_kiln,2032,0.9518
Hope Cement Works,cement_kiln,2033,0.9122
Hope Cement Works,cement_kiln,2034,0.8725
Hope Cement Works,cement_kiln,2035,0.7932
Hope Cement Works,cement_kiln,2036,0.7932
Hope Cement Works,cement_kiln_ccs,2028,0.0555
Hope Cement Works,cement_kiln_ccs,2029,0.1368
Hope Cement Works,cement_kiln_ccs,2030,0.2181
Hope Cement Works,cement_kiln_ccs,2031,0.2578
Hope Cement Works,cement_kiln_ccs,2032,0.2974
Hope Cement Works,cement_kiln_ccs,2033,0.3371
Hope Cement Works,cement_kiln_ccs,2034,0.3768
Hope Cement Works,cement_kiln_ccs,2035,0.4561
Hope Cement Works,cement_kiln_ccs,2036,0.4561
Rugby Works,cement_kiln,2026,1.0712
Rugby Works,cement_kiln,2027,1.1
Rugby Works,cement_kiln,2028,1.0749
Rugby Works,cement_kiln,2029,1.0366
Rugby Works,cement_kiln,2030,0.9982
Rugby Works,cement_kiln,2031,0.9598
Rugby Works,cement_kiln,2032,0.9214
Rugby Works,cement_kiln,2033,0.883
Rugby Works,cement_kiln,2034,0.8446
Rugby Works,cement_kiln,2035,0.7678
Rugby Works,cement_kiln,2036,0.7678
Rugby Works,cement_kiln_ccs,2028,0.0538
Rugby Works,cement_kiln_ccs,2029,0.1325
Rugby Works,cement_kiln_ccs,2030,0.2112
Rugby Works,cement_kiln_ccs,2031,0.2496
Rugby Works,cement_kiln_ccs,2032,0.288
Rugby Works,cement_kiln_ccs,2033,0.3264
Rugby Works,cement_kiln_ccs,2034,0.3648
Rugby Works,cement_kiln_ccs,2035,0.4416
Rugby Works,cement_kiln_ccs,2036,0.4416
Fife Ethylene Plant,gas_boiler,2026,10.9651
Fife Ethylene Plant,gas_boiler,2027,10.9651
Fife Ethylene Plant,gas_boiler,2028,10.9651
Fife Ethylene Plant,gas_boiler,2029,10.9651
Fife Ethylene Plant,gas_boiler,2030,10.9651
Fife Ethylene Plant,gas_boiler,2031,10.9285
Fife Ethylene Plant,gas_boiler,2032,10.892
Fife Ethylene Plant,gas_boiler,2033,10.8554
Fife Ethylene Plant,gas_boiler,2034,10.8189
Fife Ethylene Plant,gas_boiler,2035,10.7823
